id,name
1,Буррата
2,Панифарин
3,абрикосовое варенье
4,абрикосовое пюре
5,абрикосовый джем
6,абрикосовый сок
7,абрикосы
8,абрикосы консервированные
9,авокадо
10,агава сироп
11,агар-агар
12,аграм
13,аджика
14,аджика зеленая
15,айва
16,айвовое пюре
17,айран
18,айсинг
19,акула стейки
20,алкоголь
21,алкоголь крепкий
22,алыча
23,альбухара
24,альмехи
25,амарантовая мука
26,ананасовый сироп
27,ананасовый сок
28,ананасы
29,ананасы вяленые
30,ананасы консервированные
31,анис
32,анис звездочки
33,анис семена
34,анисовый ликер
35,анчоусы
36,апельсиновая вода
37,апельсиновая цедра
38,апельсиновая эссенция
39,апельсиновое варенье
40,апельсиновые цукаты
41,апельсиновый джем
42,апельсиновый джем с имбирем
43,апельсиновый ликер
44,апельсиновый сироп
45,апельсиновый сок
46,апельсиновый сок свежевыжатый
47,апельсиновый уксус
48,апельсиновый экстракт
49,апельсины
50,апельсины красные
51,апельсины крупные
52,арахис
53,арахис жареный
54,арахис соленый
55,арахисовая паста
56,арахисовое масло
57,арбузная мякоть
58,арбузы
59,аргановое масло
60,аришта
61,ароматизатор
62,"ароматизатор ""ананас"""
63,"ароматизатор ""вишня"""
64,"ароматизатор ""малина"""
65,"ароматизатор ""ром"""
66,артишоки
67,артишоки в масле
68,артишоки маринованные
69,аспирин
70,ассорти мясное
71,ассорти овощное
72,ассорти фруктовое
73,ассорти ягодное
74,аши
75,багет
76,багет вчерашний
77,багет мини
78,бадан
79,бадьян
80,базилик лимонный
81,базилик свежий
82,базилик сушеный
83,базилик тайский
84,базилик фиолетовый
85,баклажаны
86,баклажаны мини
87,баклажаны тайские
88,балык
89,бальзам
90,бальзам рижский черный
91,бальзамический крем
92,бальзамический соус
93,бальзамический уксус
94,бамия
95,банановое пюре
96,банановые чипсы
97,банановый зеленый сироп
98,банановый ликер
99,бананы
100,бананы мини
101,барабулька
102,бараний ливер
103,бараний окорок на косточке
104,бараний фарш
105,баранина
106,баранки
107,бараньи антрекоты
108,бараньи голяшки
109,бараньи потроха
110,бараньи ребрышки
111,баранья лопатка
112,баранья нога
113,баранья печень
114,барбарис
115,барбарис вяленый
116,барбарис молотый
117,бастурма
118,батат
119,батон
120,батончики шоколадные
121,безе
122,бекон
123,бекон варено-копченый
124,бекон сырокопченый
125,белорыбица
126,бирнель
127,бисквик смесь готовая
128,бисквит
129,бисквит шоколадный
130,бисквитная крошка
131,бисквитный корж
132,бисквитный рулет
133,бифштекс
134,блинная мука
135,блины готовые
136,блины овсяные
137,бобовые ростки
138,бобы
139,бобы мунг пророщенные
140,бобы тонка
141,ботарга
142,брезаола
143,бренди
144,брокколи замороженная
145,брокколи свежая
146,брусника замороженная
147,брусника свежая
148,брусника сушеная
149,брусничное варенье
150,брусничный соус
151,брынза
152,брынза сербская
153,брюква
154,буженина
155,бузина сироп
156,букет гарни
157,булгур
158,булка
159,булка белая
160,булка сдобная
161,булочки
162,булочки белые черствые
163,булочки бриошь
164,булочки вчерашние
165,булочки для гамбургеров
166,булочки зерновые
167,булочки ржаные
168,булочки с кунжутом
169,бульон
170,бульонные кубики
171,бурбон
172,буряк
173,бусинки кондитерские
174,бусинки кондитерские серебряные
175,бычий хвост
176,ванилин
177,ваниль в стручках
178,ванильная настойка
179,ванильная эссенция
180,ванильный порошок
181,ванильный сироп
182,ванильный экстракт
183,варенье
184,васаби
185,вафельная крошка
186,вафельные коржи
187,вафельные трубочки
188,вафли
189,вафли шоколадные
190,вермишель
191,вермишель яичная
192,вермут
193,вермут белый
194,вермут сухой
195,ветчина
196,ветчина вареная
197,ветчина варено-копченая
198,ветчина копченая
199,ветчина пармская
200,ветчина сырокопченая
201,вешенки
202,винегрет
203,винный камень
204,винный уксус
205,винный уксус белый
206,винный уксус красный
207,винный уксус на чесноке
208,винный уксус на эстрагоне
209,вино белое
210,вино белое полусладкое
211,вино белое полусухое
212,вино белое сладкое
213,вино белое столовое
214,вино белое сухое
215,вино десертное
216,вино игристое сухое
217,вино красное
218,вино красное полусладкое
219,вино красное полусухое
220,вино красное сладкое
221,вино красное сухое
222,вино крепленое
223,вино розовое полусладкое
224,вино розовое полусухое
225,виноград
226,виноград без косточек
227,виноград белый
228,виноград изабелла
229,виноград синий
230,виноград черный
231,виноградное желе
232,виноградные листья
233,виноградные листья маринованные
234,виноградные листья молодые
235,виноградный сок
236,виноградный сок осветленный
237,виски
238,витамин C в порошке
239,вишневая настойка
240,вишневое варенье
241,вишневые листья
242,вишневый джем
243,вишневый ликер
244,вишневый сироп
245,вишневый сок
246,вишня
247,вишня вяленая
248,вишня замороженная
249,вишня засахаренная кондитерская
250,вишня коктейльная
251,вишня мараскино
252,"вишня, протертая с сахаром"
253,вода
254,вода минеральная без газа
255,вода минеральная газированная
256,водка
257,водка анисовая
258,водоросли
259,вустерширский соус
260,галангал корень
261,галеты
262,гамбургер
263,ганаш
264,гарам масала
265,гарнир
266,гаспачо
267,гвоздика
268,гвоздика молотая
269,герань листья
270,геркулес
271,глазурь
272,глазурь белая
273,глазурь готовая
274,глазурь черная
275,глазурь шоколадная белая
276,глутамат натрия
277,глюкоза
278,глюкоза сироп
279,говядина
280,говядина на кости
281,говяжий фарш
282,говяжий язык
283,говяжье сердце
284,говяжьи бифштексы
285,говяжьи голяшки
286,говяжьи легкие
287,говяжьи ребра
288,говяжьи стейки рибай
289,говяжья вырезка
290,говяжья грудинка
291,говяжья лопатка
292,говяжья мозговая кость
293,говяжья мякоть
294,говяжья печень
295,говяжья черева
296,говяжья шейка
297,годжи
298,голец филе
299,голубика
300,голубика замороженная
301,голубь
302,горбуша
303,горбуша в собственном соку
304,горбуша филе
305,горгонзола
306,горгонзола пиканте
307,горох
308,горох колотый
309,гороховые ростки
310,гороховый суп
311,горошек зеленый
312,горошек зеленый замороженный
313,горошек зеленый консервированный
314,горошек стручковый свежий
315,горчица
316,горчица дижонская
317,горчица дижонская с медом
318,горчица желтая семена
319,горчица острая
320,горчица русская
321,горчица с зернами
322,горчица семена
323,горчица сухая
324,горчица французская
325,горчица цитрусовая
326,горчичное масло
327,горчичный порошок
328,грана падано
329,гранатные зерна
330,гранатовая паста
331,гранатовый сироп
332,гранатовый сок
333,гранатовый сок свежевыжатый
334,гранатовый соус
335,гранаты
336,гранита
337,гранола с орехами
338,граппа
339,гратен
340,грейпфрутовая цедра
341,грейпфрутовый сок
342,грейпфруты
343,грейпфруты розовые
344,гренадин
345,гренки
346,грецкие орехи
347,грецкие орехи рубленые
348,гречневая крупа
349,гречневая крупа зеленая
350,гречневая лапша соба
351,гречневая мука
352,гречневое молоко
353,гречневые хлопья
354,грибы
355,грибы белые
356,грибы белые замороженные
357,грибы белые маринованные
358,грибы белые сухие
359,грибы замороженные
360,грибы замороженные (опята и маслята)
361,грибы лесные
362,грибы маринованные
363,грибы свежие
364,грибы соленые
365,грибы соломенные консервированные
366,грибы сухие
367,грибы шиитаке
368,грибы шиитаке сухие
369,гриль
370,гриссини
371,грудинка
372,грудинка варено-копченая
373,грудинка копченая
374,грушевое пюре
375,грушевый ликер
376,грушевый сироп
377,грушевый сок
378,грушевый уксус
379,груши
380,груши вяленые
381,грюйер
382,гуава
383,гуанчиале
384,гурьевская каша
385,гусиная грудка копченая
386,гусиная печень
387,гусиный жир
388,гусь
389,гусь тушка
390,дайкон
391,детское питание
392,джем
393,джин
394,джусай
395,диоксид титана
396,долма
397,дорада
398,дорада потрошеная с головой
399,дорада с головой
400,дорада тушка
401,драже
402,дрожжи домашние
403,дрожжи свежие
404,дрожжи сухие
405,дубовая кора
406,душица
407,дыня
408,ежевика
409,ежевика замороженная
410,ерш
411,желатин
412,желатин листовой
413,желе
414,желе для торта
415,желирующее вещество
416,желирующий сахар
417,женьшень
418,жидкий дым
419,жимолость
420,жир
421,жир вытопленный
422,жир кулинарный
423,жир растительный
424,заатар
425,завтрак сухой
426,завтрак сухой подушечки
427,загуститель для сливок
428,зайчатина
429,закваска
430,закваска вечная
431,заменитель сахара
432,заменитель сахара стевия
433,заправка для салатов готовая
434,зверобой
435,зелень
436,зелень рубленая
437,земляника
438,земляника замороженная
439,зефир
440,зира
441,злаковые хлопья
442,зубатка
443,зубатка филе
444,изолят соевого протеина
445,изюм
446,изюм без косточек
447,изюм белый
448,изюм черный
449,икра
450,икра вяленой рыбы
451,икра горбуши зернистая
452,икра красная
453,икра красной рыбы мелкая
454,икра летучей рыбы
455,икра лосося
456,икра мойвы
457,икра палтуса
458,икра судака
459,икра черная
460,имбирное варенье
461,имбирное печенье
462,имбирные цукаты
463,имбирь
464,имбирь засахаренный
465,имбирь корень
466,имбирь маринованный
467,имбирь молотый
468,индейка
469,индейка голень
470,индейка грудка
471,индейка копченая
472,индейка тушка
473,индейка фарш
474,индейка филе
475,индоутка
476,индюшачья печень
477,инжир
478,инжир свежий
479,инжир сушеный
480,ирга
481,ириски
482,итальянские травы
483,йогурт
484,йогурт греческий
485,йогурт жирный
486,йогурт козий
487,йогурт натуральный
488,йогурт нежирный
489,йогурт обезжиренный
490,йогурт фруктовый
491,кабачки
492,кабачки замороженные
493,кабачки молодые
494,каджунская смесь специй
495,какао
496,какао сгущенное
497,какао-бобы
498,какао-масло
499,какао-порошок
500,какао-порошок обезжиренный
501,калина
502,калина протертая
503,калинджи семена
504,кальвадос
505,кальмары
506,кальмары вареные
507,кальмары замороженные
508,кальмары консервированные
509,кальмары филе
510,камамбер
511,камбала
512,камбала филе
513,кампари
514,кандурин золотой
515,каннеллони
516,капеллини
517,каперсы
518,каперсы в винном уксусе
519,каперсы маринованные
520,капуста белокочанная
521,капуста брюссельская
522,капуста брюссельская замороженная
523,капуста кале
524,капуста квашеная
525,капуста кольраби
526,капуста краснокочанная
527,капуста морская
528,капуста морская замороженная
529,капуста морская сушеная
530,капуста пекинская
531,капуста савойская
532,капуста цветная
533,капуста цветная замороженная
534,капустный рассол
535,капучино
536,каракатица
537,каракатица очищенная
538,карамбола
539,карамель
540,карамель с начинкой
541,карамель соленая
542,карамельный соус
543,карась
544,карбонад
545,кардамон
546,кардамон зерна
547,кардамон молотый
548,кардамон стручки
549,каркаде
550,карп
551,карп зеркальный
552,карп филе
553,карри
554,карри листья
555,карри паста
556,картофель
557,картофель вареный
558,картофель вареный в мундире
559,картофель молодой
560,картофель печеный
561,картофельное пюре
562,картофельные ньокки
563,картофельные хлопья
564,картофельные чипсы
565,картофельный крахмал
566,картофельный отвар
567,картофельный хэш замороженный
568,катык
569,каффир-лайм листья
570,каша
571,каша для детского питания
572,каштановая мука
573,каштановый крем
574,каштаны
575,каштаны вареные
576,каштаны консервированные
577,каштаны очищенные
578,квас
579,квас хлебный
580,квасное сусло
581,квасной концентрат сухой
582,кедровая мука
583,кедровые орехи
584,кедровые орехи жареные
585,кета
586,кетчуп острый
587,кетчуп томатный
588,кетчуп тосканский
589,кетчуп шашлычный
590,кефаль
591,кефир
592,кефир 1%
593,"кефир 2,5%"
594,"кефир 3,2%"
595,кефир обезжиренный
596,кешью
597,кивано
598,киви
599,киви желе
600,кижуч
601,кижуч горячего копчения филе
602,кизил
603,килька
604,кимчи
605,кинза свежая
606,кинза сушеная
607,киноа
608,киноа молотая
609,кипяток
610,кирш
611,кисель
612,кисель сухой
613,кисломолочный напиток Тан
614,кишки
615,клейковина
616,клементины
617,кленовый сироп
618,клубника
619,клубника в сиропе
620,клубника замороженная
621,клубника сушеная
622,"клубника, протертая с сахаром"
623,клубничное варенье
624,клубничное желе
625,клубничное пюре
626,клубничный джем
627,клубничный джем густой
628,клубничный компот
629,клубничный ликер
630,клубничный сироп
631,клюква
632,клюква вяленая
633,клюква замороженная
634,"клюква, протертая с сахаром"
635,клюквенное варенье
636,клюквенный джем
637,клюквенный морс
638,клюквенный сироп
639,клюквенный соус
640,козлиная печень
641,козлятина молодая
642,кока-кола
643,кокосовая вода
644,кокосовая мука
645,кокосовая стружка
646,кокосовая стружка цветная
647,кокосовое масло
648,кокосовое молоко
649,кокосовые сливки
650,кокосовый ликер
651,кокосовый экстракт
652,кокосы
653,кола
654,колбаса
655,колбаса вареная
656,колбаса варено-копченая
657,колбаса копченая
658,колбаса кровяная
659,колбаса полукопченая
660,колбаса сырокопченая
661,колбаска свиная свежая (salsiccia)
662,колбаски
663,колбаски для жарки
664,колбаски домашние
665,колбаски охотничьи
666,колбаски сырокопченые
667,компот
668,конопля семена
669,конопляное масло
670,конфеты
671,конфеты M&M’s
672,конфеты Коровка
673,конфеты Трюфель
674,конфеты жевательные лакричные
675,конфитюр
676,конфитюрка
