id,name,text,cooking_time,image,pub_date,author_id
1,Украинский борщ,"1. Налейте в кастрюлю холодную воду, выложите мясо и поставьте на средний огонь. Бульон будет вкуснее, если использовать именно мясо на кости. Когда жидкость закипит, накройте кастрюлю крышкой и варите на медленном огне час-полтора.
2. Вымойте и почистите свёклу, морковь и лук. Свёклу натрите на крупной тёрке, а морковь — на средней. Лук нарежьте небольшими кубиками.
Налейте масло в сковороду, включите средний огонь. Обжаривайте лук и морковь, помешивая, около 5 минут.
Затем выложите свёклу. Добавьте к ней лимонную кислоту, уксус или сок лимона. Благодаря этому борщ будет по-настоящему красным и приобретёт приятную кислинку.
3.Когда бульон сварится, выньте из него мясо. Пока оно остывает, засыпьте в кастрюлю нашинкованную капусту. Через 5–10 минут добавьте нарезанный соломкой или кубиками картофель. Добавьте зажарку и перемешайте. Закиньте лавровый лист и мелко порубленную зелень. Накройте кастрюлю крышкой и варите ещё 5–7 минут.",60,recipes/images/borsch.jpeg,2023-08-24 15:39:52.275664,6
2,Паста-карбонара с беконом,"1. Спагетти варить 7-10 минут в кипящей подсоленной воде и откинуть на дуршлаг.
2. В сковороде разогрейте оливковое масло, положите чеснок и слегка подрумяньте.
3. Ветчину/бекон мелко нарежьте, добавьте к чесноку и обжаривайте 5 минут.
4. Сыр пармезан натрите на мелкой терке. Желтки взбить со сливками, немного подсолить.
5. Спагетти переложить в сотейник с чесноком и ветчиной/беконом.
6. Добавить взбитые желтки и тёртый сыр, перемешать. Держать на огне 3 минуты
7. Посыпать молотым перцем, украсить зеленью и подавать на стол.",30,recipes/images/carbonara.jpeg,2023-08-24 15:41:11.795720,4
3,Горячие бутерброды,"1. Помидор мелко нарезаем.
2. Мелко нарезаем колбаску двух видов - вареную и копченую.
3. Сыр натираем на мелкой терке.
4. Мелко нарезаем зелень.
5. Соединяем нарезанные продукты, добавляем майонез.
6. Тщательно перемешиваем начинку для бутербродов.
7. Батон нарезаем ломтиками.
8. Выкладываем начинку (по 1-2 ложки) на ломтики хлеба. 
Ставим мини-пиццы из хлеба с колбасой, помидорами и сыром в разогретую духовку на 6-7 минут.",60,recipes/images/sandwich.jpg,2023-08-24 23:02:57.865520,2
4,Торт прага по госту,"1. Приготовьте бисквит. Сначала очень аккуратно разделите яйца на белки и желтки. К яичным желткам добавьте 100 г сахара. И хорошо взбейте их миксером. Взбивайте желтки около 5-7 минут на максимальной скорости, они должны превратиться в пышную и густую массу.
2. Венчики миксера тщательно вымойте и обсушите. Яичные белки взбейте самостоятельно до получения легкой пены.
3. Понемногу подсыпая оставшиеся 50 г сахара, взбейте белки до твердых пиков.
4. Муку соедините с какао-порошком и просейте вместе 2-3 раза. Также растопите в микроволновке или на плите сливочное масло, дайте ему немного остыть.
5. Во взбитые желтки с помощью ручного венчика или лопатки вмешайте белки. Перемешайте до получения однородного теста.
6. По стенкам миски влейте растопленное сливочное масло и тщательно, но аккуратно вмешайте его в тесто.
7. Приготовьте крем. В сотейнике смешайте яичный желток и воду.
8. Поставьте сотейник на меленький огонь и уварите яичный сироп до загустения. Снимите сироп с огня и оставьте до полного остывания. Во время остывания сироп как можно чаще перемешивайте, чтобы на его поверхности не образовывалась плотная корочка.
9. Соберите торт. На корж выложите половину всего крема и разровняйте. Сверху накройте вторым коржом и выложите оставшуюся половину крема.",120,recipes/images/praga-tort.jpg,2023-08-25 14:50:29.225576,1
5,Тарталетки с сыром и помидорами,"1. Яйца залейте водой и отварите вкрутую (не дольше 10 минут), остудите в холодной воде и очистите.
2. Твердый сыр натрите на мелкой терке, сложите в глубокую миску.
3. Остывшие вареные яйца натрите на мелкой терке и добавьте к сыру.
4. Сырную начинку посолите, поперчите по вкусу. Чеснок очистите, пропустите через пресс и добавьте в начинку. Заправьте майонезом, перемешайте.
5. Выложите в каждую тарталетку по ложке начинки из сыра и яиц.
6.",30,recipes/images/tartaletki.jpg,2023-08-25 14:57:11.868304,5
6,Булочки с корицей,"1. Делаем дрожжевое тесто. Для этого сперва смешиваем сухие ингредиенты теста — просеянную муку, сахар, дрожжи и соль.
2. Молоко смешиваем с яйцом и растопленным маслом. Смесь должна быть комнатной температуры или чуть теплее, чтобы дрожжи впоследствии быстрее начали свое действие.
3. Теперь соединяем обе смеси и замешиваем тесто. 50 г муки, которые у нас остались, используем для подсыпки при замешивании теста. Не старайтесь высыпать их сразу, лучше добавляйте постепенно. Тесто должно получиться мягким, эластичным и хорошо отлипать от рук.
4. Кладем тесто в миску большего объема, накрываем пищевой пленкой и ставим в теплое место для подъема примерно на час. Нужно, чтобы тесто увеличилось вдвое.
5. Обминаем тесто и оставляем для подъема еще раз. Дважды подошедшее тесто раскатываем в прямоугольный пласт толщиной 0,5-1 см.
6. Смазываем тесто растопленным сливочным маслом, посыпаем сахаром, перемешанным с корицей.
7. Сворачиваем тесто плотным рулетом с меньшей стороны, и нарезаем поперек, кусочками толщиной 1,5-2 см.
8. Противень застилаем бумагой для выпечки и раскладываем на нем будущие булочки, оставляя между ними достаточно свободного места для подъема.
9. Смазываем каждую булочку взбитым яйцом (можно сверху еще посыпать булочки сахаром) и ставим в разогретую до 180 градусов духовку. Выпекаем булочки с корицей до золотистого цвета, около получаса.",60,recipes/images/bulochka.jpg,2023-08-25 15:01:48.822122,1
7,Сырный крем-суп с шампиньонами,"1. Подготовить все необходимые продукты. Картофель, лук и морковь очистить.
2. Картофель нарезать средними кусочками.
3. Морковь нарезать произвольными кусочками или натереть на крупной терке.
4. Лук нарезать небольшими кусочками.
5. Шампиньоны нарезать средними кусочками.
6. В сковороде разогреть растительное масло, выложить нарезанные овощи и жарить 10 минут, периодически помешивая.
7. Переложить овощи в кастрюлю, влить 1,5 л теплой воды и варить на умеренном огне 25-30 минут.
8. Затем добавить в кастрюлю сливочный сыр.
9. Влить сливки, добавить соль, чёрный молотый перец и сушёный чеснок. Перемешать и варить суп еще 7-8 минут.",45,recipes/images/cheese-soup.jpg,2023-08-25 15:07:13.015599,8
8,Блины на молоке: традиционный рецепт,"1. Смешайте яйца, соль, сахар и размешайте миксером. Введите муку и влейте молоко. Взбейте блинное тесто, чтобы добиться однородной консистенции.
2. Следом отправьте в тесто растительное масло, чтобы блины в момент жарки легко переворачивались и не пригорали.
3. Разогрейте сковородку и смажьте маслом.
4. Налейте в центр сковородки небольшую порцию теста. Сразу же вращайте сковородку по кругу, чтобы тесто равномерно распределилось по всей поверхности.
5. Жарим блины на среднем огне с обеих сторон до зарумянивания. Блины очень тонкие, поэтому переворачивайте их аккуратно с помощью лопатки. После того, как блин будет готов, снимите со сковородки и смажьте сливочным маслом, чтобы края не были сухими, а блины получились нежными.",40,recipes/images/pancakes.jpg,2023-08-25 15:11:41.329472,3
9,Сырные шарики с виноградом,"Виноград вымыть, обсушить, оторвать от веточек. Лучше, если виноград будет синий (без косточек), так эффектнее. Или же можете взять сорт киш-мыш.
Смешать творожный крем-сыр с сыром с плесенью или можете взять другой острый сыр и творожный сыр. Охладить.
Фисташки очистить от скорлупок и, по возможности, от шелухи. Порубить ножом в крошку.
Каждую ягодку винограда облепить сырной смесью, чтобы получилось равномерно и обвалять в фисташках.
Сложить шарики в контейнер и убрать в холод.",30,recipes/images/cheese_balls.jpeg,2023-08-26 07:10:01.276259,1
10,Рулет из лаваша с корейской морковкой и колбасой,"Тонкий лаваш, который нам понадобится для приготовления рулета, еще называют армянским. Такой лаваш можно купить в магазине, а можно и сделать в домашних условиях. Но помните, что для рулета лучше использовать лаваш прямоугольной или квадратной формы. Лист лаваша с закругленными краями нужно будет подрезать, чтобы предать ему необходимую форму.
Наносим майонез на лаваш, распределяя его по всей площади листа. Это очень удобно делать при помощи тыльной стороны ложки или обычным столовым ножом. Что же касается самого соуса, то советую вам приготовить майонез самостоятельно – тогд он будет гораздо вкуснее, чем любой магазинный аналог.
Теперь займемся начинкой в тонкий лаваш с корейской морковкой и колбасой. Колбасу я обычно беру вареную – она хорошо сочетается с корейской морковью. Самое главное, чтобы это был качественный продукт и вкусный. Режем вареную колбасу небольшими брусочками. Еще нам понадобится зелень – любая, на ваш вкус: укроп, петрушка, зеленый лук. Зелень нужно мелко нарезать.
Выкладываем на лист лаваша с майонезом начинку:  колбасу, корейскую морковь и укроп.
И заворачиваем рулет из лаваша с корейской морковкой и колбасой в рулет. Следите за тем, чтобы рулет получился достаточно тугой. Затем свернутый лаваш упаковываем в пищевую пленку и отправляем в холодильник, пропитываться.
Уже через 1-2 часа лаваш можно доставать и нарезать на кругляши толщиной 1-2 см – получатся такие маленькие рулетики из лаваша с корейской морковкой.",40,recipes/images/lavash.jpg,2023-08-26 07:13:40.497928,1
